                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76116,                0.46655,                 1.0106,                0.80217,                0.85443,                0.88408,                0.53858,                 1.2751,                 1.9532,                 1.4737,              0.0013268,              0.0013268,              0.0013268
                     36,                0.76688,                0.46573,                 1.0373,                0.81466,                0.85443,                0.87913,                0.51962,                 1.3215,                 1.9345,                 1.5275,               0.001307,               0.001307,               0.001307
                     37,                0.78459,                0.45187,                 1.0388,                0.89912,                0.86076,                0.92122,                0.57917,                 1.2711,                 1.6469,                 1.4824,              0.0012872,              0.0012872,              0.0012872
                     38,                0.78908,                0.46109,                   1.03,                0.95204,                0.87949,                 0.9256,                0.60872,                 1.2294,                 1.4377,                 1.4373,              0.0012674,              0.0012674,              0.0012674
                     39,                0.76599,                0.45282,                 1.0358,                0.94739,                0.91185,                0.94308,                0.62912,                 1.2112,                 1.0915,                 1.4231,              0.0012476,              0.0012476,              0.0012476
                     40,                0.73174,                0.43016,                  1.008,                0.95653,                0.93038,                0.96876,                 0.6484,                  1.189,                0.85495,                 1.3799,              0.0012278,              0.0012278,              0.0012278
                     41,                0.76525,                0.45807,                 1.0349,                0.96159,                0.95058,                0.97662,                0.64917,                  1.189,                0.70001,                 1.3563,               0.001208,               0.001208,               0.001208
                     42,                0.75064,                0.43217,                 1.0124,                  0.951,                0.94304,                0.97697,                0.63774,                  1.192,                0.65871,                 1.3431,              0.0011882,              0.0011882,              0.0011882
                     43,                0.75902,                0.46326,                 1.0099,                0.94919,                0.94585,                0.97586,                 0.6493,                 1.2127,                0.62028,                 1.3584,              0.0011684,              0.0011684,              0.0011684
                     44,                0.74908,                0.42431,                 1.0234,                 0.9665,                0.91311,                 0.9616,                0.63013,                 1.2155,                 0.6129,                 1.3736,              0.0011486,              0.0011486,              0.0011486
                     45,                0.78506,                0.43971,                 1.0464,                0.97666,                0.92405,                0.96714,                 0.6448,                 1.2188,                0.59051,                 1.4069,              0.0011288,              0.0011288,              0.0011288
                     46,                0.71703,                 0.4196,                 1.0095,                0.97299,                0.91189,                0.97434,                0.63891,                 1.2259,                 0.6192,                 1.4239,               0.001109,               0.001109,               0.001109
